tweet_id,Date,User,Tweet
0,2023-02-23 19:13:59+00:00,IndiaToday,"New Superman, new Batman, new Supergirl and... a Booster Gold TV show. Get ready for a new era of superheroes. Here's everything we know about the top 10 projects announced under the new DC banner.🎥📽️ #SocialMediaSpecial  #DCStudios #SupermanLegacy #EntertainmentNews https://t.co/mQKWXZhccP"
1,2023-02-23 18:50:41+00:00,IndiaToday,"Cong attacks TMC again, says it must stop poaching leaders if it's serious about working together.
https://t.co/AdQ01Um83n"
2,2023-02-23 18:48:33+00:00,IndiaToday,"Sources said foreign funding was fuelling the Khalistani movement in the state.
(@manjeet_sehgal)
https://t.co/9hjLVRp6Hw"
3,2023-02-23 18:47:14+00:00,IndiaToday,"BJP Vs AAP: Massive standoff on standing Panel.
Watch as the panelists debate on #TTP with @PreetiChoudhry: https://t.co/68AqmAL574

#PawanKhera #News #Delhi #ITVertical https://t.co/3WMosHbVDa"
4,2023-02-23 18:45:29+00:00,IndiaToday,"Cops, crackdown, chaos at Delhi airport.
Charges leveled against Pawan Khera.

Watch this and more on #5iveLIVE with @nabilajamal_: https://t.co/cM9NUCSX11

#PawanKhera #News #ITVertical https://t.co/5pBu9yiA0j"
5,2023-02-23 18:43:57+00:00,IndiaToday,"#EXCLUSIVE: Amritpal Singh speaks to India Today.
Says, ""Once we will make Khalistan here, we will go for #Lahore too. Khalsa will rule everyplace we were ruling.""
Watch #IndiaFirst, full show with @gauravcsawant: https://t.co/wG7rvnvoud
#ITHighlights https://t.co/kfGJNPMOkM"
6,2023-02-23 18:39:53+00:00,IndiaToday,"#Haryana CM Khattar said that no has the right to take law into their own hands.
https://t.co/xOt1y7UDe8"
7,2023-02-23 18:38:56+00:00,IndiaToday,"Congress leader #AmarinderSinghRaja Warring warned that #Punjab cannot afford another era of darkness and violence.
(@SharmaLalit8)
https://t.co/2GMoW5eKFU"
8,2023-02-23 18:37:23+00:00,IndiaToday,"The #SupremeCourt will soon implement a uniform and secure methodology known as the ‘Neutral Citation System' for identifying and citing decisions for all its judgments.
(@SrishtiOjha11)
https://t.co/FOR6tPuc7S"
9,2023-02-23 18:30:51+00:00,IndiaToday,"A special court in Mumbai sentenced a 33-year-old man to imprisonment for 10 years for raping his friend's daughter in 2017.
(@journovidya)
#Mumbai #news 
https://t.co/Z4mAAc3TbC"
10,2023-02-23 18:30:43+00:00,IndiaToday,"Is @_YogendraYadav joining #Congress?
Listen in to what the Swaraj Abhiyan leader replies 
Watch #Newstrack, full show with @rahulkanwal: https://t.co/on7t9jThtd

#ITHighlights https://t.co/CKT2dE4zqY"
11,2023-02-23 18:30:06+00:00,IndiaToday,"#AjayBanga, currently serving as the vice chairman of General Atlantic, has more than 30 years of business experience.
https://t.co/iep1puG5tg"
12,2023-02-23 18:28:32+00:00,IndiaToday,"#TamilNadu Chief Minister #MKStalin has written to External Affairs Minister #SJaishankar to take up the matter of the attacks on fishermen with the Sri Lankan government.
(@PramodMadhav6 )
https://t.co/qEt9rpqAqM"
13,2023-02-23 18:27:24+00:00,IndiaToday,"Officials in the Indian Army said the MRSAM regiment will provide air defence against aerial threats.
(@manjeetnegilive/@Anupammishra777)
https://t.co/AoAezwN2fQ"
14,2023-02-23 18:26:14+00:00,IndiaToday,"#BYJU'S planning to shut #WhiteHat Jr, claim sources
Salary of employees in India likely to increase by 10.3% in 2023,
Listen in to Human Capital Solutions' Roopank Chaudhary 
#BusinessToday, full show : https://t.co/bpLt7aLQhB
#ITVideo | @AabhaBakaya, @aakancvedi, @sakshibatra18 https://t.co/V9W8CnbgGE"
15,2023-02-23 18:20:25+00:00,IndiaToday,"Buy a samosa using the #RBI E-Rupee
Business Today's @tweettokarishma brings in the full story from Delhi's Chandini Chowk 
Watch #BusinessToday, full show with @AabhaBakaya: https://t.co/bpLt7aLQhB

#ITVideo #Economy https://t.co/F6aMOxyQFg"
16,2023-02-23 18:16:38+00:00,IndiaToday,"What consequences may an early &amp; hot summer have for inflation in India?
Watch #BusinessToday, full show with @AabhaBakaya: https://t.co/bpLt7aLQhB

#Business #Economy #ITVideo | @szarabi https://t.co/WB5LmFDR3O"
17,2023-02-23 18:15:43+00:00,IndiaToday,"Adani group stocks: LIC notional loss at Rs 50,000 crore in 50 days
Business Today's @sakshibatra18 brings in more on this 
Watch #BusinessToday, full show with @AabhaBakaya: https://t.co/bpLt7aLQhB
#AdaniGroup #Sharemarket #ITVideo https://t.co/INGcBcGebx"
18,2023-02-23 18:09:30+00:00,IndiaToday,"President #DroupadiMurmu said the Indian arts can spread peace and harmony in a world replete with tension and conflict.
https://t.co/mucquwKttk"
19,2023-02-23 18:08:13+00:00,IndiaToday,"External Affairs Minister #SJaishankar said the image of India today is that of a country that is willing to go to any extent to protect its national security.
https://t.co/6C0zfQdGVK"
20,2023-02-23 18:07:06+00:00,IndiaToday,"Addressing a virtual rally ahead of the #Pune bypolls, former #Maharashtra CM Uddhav Thackeray urged his party members to vote for Congress and NCP but not for the BJP.
(@ritvick_ab)
https://t.co/Tk3S26TnkU"
21,2023-02-23 18:04:53+00:00,IndiaToday,".@HarmeetSS punches a hole in the #Khalistani theory floated by the likes of Amritpal Singh.
Says the original Khalsa Raj of Maharaja Ranjeet Singh covered what’s now the entire Pakistan. 
Listen in to what @rpsinghkhalsa &amp; Irsan Trivedi say
#IndiaFirst #ITVideo | @gauravcsawant https://t.co/caSCQc5Y8o"
22,2023-02-23 18:03:44+00:00,IndiaToday,"Political analyst Irsan Trivedi says, ""Punjab police took all the damage on themselves but they didn't shoot any innocent.""
@sushantsareen asks, ""Cops get injured and that's not a problem?"" 
#AmritpalSingh #IndiaFirst #ITVideo| @gauravcsawant https://t.co/tJ52Nt31Ij"
23,2023-02-23 17:52:38+00:00,IndiaToday,"EXCLUSIVE: India Today's @kamaljitsandhu speaks to Amritpal Singh.
He said, ""I am propagating for a separate state and it's not a crime if I am trying to do it in a peaceful manner."" 

#AmritpalSingh #IndiaFirst #ITVideo | @gauravcsawant https://t.co/7Y6Qmw1USl"
24,2023-02-23 17:49:13+00:00,IndiaToday,"#AFWAFactCheck | None of these viral videos is from the Feb 23 #Tajikistan earthquake
#FactCheck @AFWACheck @dheeshmap 
https://t.co/kbOSZv4X3H"
25,2023-02-23 17:46:16+00:00,IndiaToday,"The CBI registered a case against an Indian Revenue Service officer and a senior intelligence officer of DGGI.
(@divyeshas )
https://t.co/Nphis3M0EY"
26,2023-02-23 17:45:07+00:00,IndiaToday,"Maharashtra Deputy CM #DevendraFadnavis has hit back at NCP chief #SharadPawar, over his party leader's appeal to 'bring voters from Dubai'.
(@ritvick_ab)
https://t.co/8C90ZzxshQ"
27,2023-02-23 17:43:35+00:00,IndiaToday,"#SaeedAkhtarMirza is the former director of the Film and Television Institute of India in #Pune.
(@KGShibimol)
https://t.co/KEcl6bpfm4"
28,2023-02-23 17:42:39+00:00,IndiaToday,"The arrest was made under the Prevention of Money Laundering Act, 2002 and is related to the misappropriation of public deposits of more than Rs 1000 crore.
(@divyeshas)
https://t.co/JQZZcvq6Xa"
29,2023-02-23 17:41:28+00:00,IndiaToday,"Several vehicles were charred after a massive fire broke out in the dumping yard of the #Lucknow Municipal Corporation on Thursday.
(@ashishaajtak)
https://t.co/HK8wcOE5uA"
30,2023-02-23 17:39:27+00:00,IndiaToday,"Sanjay Devram Bhoir has been arrested for evading payment of service tax to the tune of Rs 2.26 crore.
(@divyeshas) 
#Mumbai #news 
https://t.co/gui6Pw3hPl"
31,2023-02-23 17:36:51+00:00,IndiaToday,"Videos of people behaving oddly on American streets are going viral. What is happening? Watch to know more.

#NewsMo #ZombieDrug #US https://t.co/Y09fp0Db1k"
32,2023-02-23 17:27:32+00:00,IndiaToday,"The story behind Amrish Puri’s character in #DDLJ was featured in #TheRomantics. Did you spot it?

https://t.co/utxRnSU8c4"
33,2023-02-23 16:50:43+00:00,IndiaToday,"That's how Amritpal Singh outsmarted Punjab Police: He brought Sri Guru Granth Sahib to the showdown site, observes @HarmeetSS
@sushantsareen says, ""Isn't it the job of the Central govt to take back the state from such an 'irresponsible' govt.""
#IndiaFirst  | @gauravcsawant https://t.co/0Qr7LDZhmH"
