,Date,User,Tweet
0,2023-02-23 23:30:00+00:00,TimesNow,"Rahul Gandhi as PM candidate, Mamata Banerjee game-changer: Shatrughan Sinha's prediction for 2024 LS election.

https://t.co/Pn2qA36Dt5"
1,2023-02-23 23:00:01+00:00,TimesNow,"#Delhi #BJP alleges irregularities in #MCD standing committee poll, demands fresh voting.

https://t.co/Y7Pzqr3yQL"
2,2023-02-23 22:30:00+00:00,TimesNow,"Your smart watch may disrupt your pacemaker, worsen heart health.

https://t.co/VgqOUGTF0Z"
3,2023-02-23 22:00:00+00:00,TimesNow,"'No country will...': What Jaishankar said when asked if India will help cash-strapped Pakistan amid crisis.

https://t.co/4wbCqiwJ4X"
4,2023-02-23 21:30:00+00:00,TimesNow,"#Paytm introduces 'Cancel Protect' feature starting at Rs 25; users can avail full refund instantly on travel tickets.

https://t.co/3oE2KaYsJT"
5,2023-02-23 21:00:00+00:00,TimesNow,"59 per cent long #Covid patients suffered organ damage a year later: Study.

https://t.co/u8osxILP6h"
6,2023-02-23 20:30:00+00:00,TimesNow,"#Google blatantly disobeying CCI orders, charging App developers an exorbitant 11-26 commission: #Report

https://t.co/KPMODyMwJF"
7,2023-02-23 20:00:01+00:00,TimesNow,"Here are the top 4 affordable edtech platforms available in India.

https://t.co/qw9JvYBpPW"
8,2023-02-23 19:30:00+00:00,TimesNow,"#BiggBoss16's Soundarya Sharma on dating rumours with Sajid Khan: I'm deeply hurt.

https://t.co/v8AnM0k34B"
9,2023-02-23 19:00:01+00:00,TimesNow,"Music, comedy, poetry, literature more: Delhiites' weekend sorted with these fun-filled events.

https://t.co/YdccupUqtu"
10,2023-02-23 18:30:00+00:00,TimesNow,"#Watch Try this chemical free homemade makeup remover without burning a hole in your pocket.

https://t.co/aUhrayjEFJ"
11,2023-02-23 18:21:06+00:00,TimesNow,"In yet another jolt for Congress, CR Kesavan resigns from Congress party.

Watch For More Details.

@PriyaBahal22 | #Congress #CRKesavan https://t.co/eLeh8eDS41"
12,2023-02-23 18:20:00+00:00,TimesNow,"Senior IAS officer collapses in Mumbai hotel after dinner, dies.

https://t.co/dFqMcA67AX"
13,2023-02-23 18:17:17+00:00,TimesNow,"Delhi MCD last night turned into battleground, wherein, AAP-BJP councillors threw bottles &amp; paper balls &amp; even slapped each other.

Tune in to know what both the parties have alleged.

@PriyaBahal22 | #Delhi #MCDHouse https://t.co/wanJ2UlSDM"
14,2023-02-23 18:10:00+00:00,TimesNow,"Can pizza be included in weight loss diet? Nutritionist reveals ways to do it

https://t.co/0MqCRCsr0c"
15,2023-02-23 18:08:50+00:00,TimesNow,"#CongTarmacTamasha

Congress leader Pawan Khera released on interim bail, hours after his arrest.

Earlier in the day, the party cadres staged a dharna on Tarmac, following Khera's arrest.

Watch to know what has transpired so far.

@PriyaBahal22 | #PawanKhera #Congress https://t.co/HHect7Wfu8"
16,2023-02-23 18:04:33+00:00,TimesNow,"Rajasthan: Hospital ambulance ignores patients, transports footwear for traders, video goes viral

@bhanwarpushpen2 joins @PriyaBahal22 with the latest updates.

#Rajasthan #Ambulance https://t.co/6t0PSXvNnz"
17,2023-02-23 18:00:23+00:00,TimesNow,"Bihar minister #SurendraYadav stokes row, likens Agniveers to 'hijron ki fauj'.

@PriyaBahal22 shares details. https://t.co/6aKX8a1ZBW"
18,2023-02-23 18:00:00+00:00,TimesNow,"Sonu Sood turns messiah again, helps #Viral #Twitter singing star Amarjeet Jaikar realise his dream. #Watch.

https://t.co/hqi5Q88vin"
19,2023-02-23 17:59:41+00:00,TimesNow,"#KhalistanFreeRun

There is a total break down of law &amp; order in Punjab. This government does not know how to run it. The CM &amp; his party is not capable: Former Punjab CM Capt. Amrinder Singh shares his views with @PriyaBahal22

Listen in. https://t.co/T7M6UWcobe"
20,2023-02-23 17:56:21+00:00,TimesNow,"#KhalistanFreeRun

Punjab police 'surrenders' to Amritpal Singh's demand of releasing his close aide after Singh's supporters throughout the day today, ran amok on the streets of Amritsar.

Supporters were armed with swords &amp; even attacked cops.

@PriyaBahal22 shares details. https://t.co/kvxGoB4gyo"
21,2023-02-23 17:50:00+00:00,TimesNow,"Ranbir Kapoor's fan says actor is 'best dancer after Madhuri Dixit'. Netizens say 'Hrithik, Shahid doesn't exist?'

https://t.co/aDbo0wgOYH"
22,2023-02-23 17:45:25+00:00,TimesNow,"#SorryAfterInsult

Seeing the present scenario of revenge politics, anything could have happened. There could have been even a threat to his life within police custody: @DushyantNaagar slams the BJP.

To mock PM's father is not right: @rpsinghkhalsa

@PadmajaJoshi https://t.co/vtmzzWHOWT"
23,2023-02-23 17:40:00+00:00,TimesNow,"SS Rajamouli #RRR to re-release in US in 200 theatres, ahead of Oscars 2023. #Watch New trailer.

https://t.co/nSVvqvv9mU"
24,2023-02-23 17:39:32+00:00,TimesNow,"#SorryAfterInsult

I don't think that it was such a statement (of Pawan Khera) which needed an arrest: @VivekBansal72

This is not the first time that Congress has abused PM Modi, they've used all such cuss words: @rpsinghkhalsa

Watch @TheNewshour AGENDA with @PadmajaJoshi https://t.co/9dYBNydWIr"
25,2023-02-23 17:35:00+00:00,TimesNow,"High Voltage Khera-Congress Drama Play Out At Delhi Airport Tarmac, ‘Delayed’ Audience Not Thrilled.

#TNDIGITALVIDEOS #PawanKhera #Delhi https://t.co/TJEGpQrgtW"
26,2023-02-23 17:30:01+00:00,TimesNow,"Not able to sleep? Try these 5 #Yoga poses for the best snooze.

https://t.co/SZ0Zlp4bHa"
27,2023-02-23 17:23:11+00:00,TimesNow,"#KhalistanFreeRun

#AAP can't take action against Amritpal Singh because SFJ has said 'they supported the party during elections, so now they should help to spread the word of Khalistan'. @rpsinghkhalsa

Watch @TheNewshour AGENDA with @PadmajaJoshi https://t.co/oZhpVtP584"
28,2023-02-23 17:23:11+00:00,TimesNow,"#SorryAfterInsult

Unconditional Apology After Insult 

Khera Admits 'Inadvertent Error'... After First And Detention

Cong Claims Death Of Democracy

Saying Sorry For Damage Control?

Watch @thenewshour AGENDA with @PadmajaJoshi https://t.co/6V6mKu75dA"
29,2023-02-23 17:19:00+00:00,TimesNow,"#KhalistanFreeRun

What happened today is because of state govt &amp; the Centre. BJP &amp; AAP don't like #AmritpalSingh, so they filed a false case against him: @advimaankhara

Watch @TheNewshour AGENDA with @PadmajaJoshi https://t.co/xU2zgIxLZ5"
30,2023-02-23 17:12:34+00:00,TimesNow,"#KhalistanFreeRun

BJP wants that the unrest in Punjab should continue: @SanjivKaushik11

Amritpal Singh has provoked people, using their sentiments &amp; attacking, taking over a police station: @ramnikmann

Watch @TheNewshour AGENDA with @PadmajaJoshi https://t.co/I6tWFRGeTg"
31,2023-02-23 16:55:42+00:00,TimesNow,"#KhalistanFreeRun

Agreed that there is sufficient evidence of innocence in the case of Amritpal Singh's aide. But what about this case, wherein, cops were attacked &amp; are injured?: @rpsinghkhalsa

Watch @TheNewshour AGENDA with @PadmajaJoshi https://t.co/dRfPmadJfx"
32,2023-02-23 16:55:00+00:00,TimesNow,"#SorryAfterInsult

Unconditional Apology After Insult 

Khera Admits 'Inadvertent Error'... After First And Detention

Cong Claims Death Of Democracy

Saying Sorry For Damage Control?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/qSkafgqnps"
33,2023-02-23 16:50:00+00:00,TimesNow,"#SorryAfterInsult

Unconditional Apology After Insult 

Khera Admits 'Inadvertent Error'... After First And Detention

Cong Claims Death Of Democracy

Saying Sorry For Damage Control?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/z3wmzgKImL"
34,2023-02-23 16:48:00+00:00,TimesNow,"#KhalistanFreeRun

SSP has clearly told that the person who has been arrested is not involved in the alleged case. That's why he has been released: @PARVIND17265779

Watch @thenewshour AGENDA with @PadmajaJoshi https://t.co/LNGH2GG7kT"
35,2023-02-23 16:40:00+00:00,TimesNow,"#SorryAfterInsult

Unconditional Apology After Insult 

Khera Admits 'Inadvertent Error'... After First And Detention

Cong Claims Death Of Democracy

Saying Sorry For Damage Control?

Watch @TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/eobgMzdiYr"
36,2023-02-23 16:39:46+00:00,TimesNow,"#KhalistanFreeRun

Unprecedented Capitulation... Separatist Now Dictates Terms

Guns, Swords, Clash With Cops, 'Blackmailed' By A Khalistani

Police Frees Amritpal’s Aide

AAP Letting Khalistanis Prevail?

Watch @thenewshour AGENDA with @PadmajaJoshi https://t.co/S7eJWdAhb9"
37,2023-02-23 16:38:10+00:00,TimesNow,"#SorryAfterInsult

If the PM was offended, a defamation case should have been filed: @tehseenp

Pawan Khera was very clear when he said that 'kaam toh Gautam Das wala karte hai'. It was not slip of tongue: @Tushar15_

Watch @TheNewshour with @NavikaKumar https://t.co/1hyNZ46NOg"
